,TWI,Ln(TWI),,,TB (Bloomberg),TB 12 M Sum,,,Trade Balance ,Net non-treasury portfolio flows,Basic Balance 
2001-11,104.81,4.65,,2001-11,-29.976,-372.4,,Nov-01,-372.43,491.96,119.53
2001-12,105.24,4.66,,2001-12,-26.915,-365.1,,Dec-01,-365.13,482.72,117.59
2002-01,106.79,4.67,,2002-01,-29.957,-359.8,,Jan-02,-359.78,466.69,106.92
2002-02,107.47,4.68,,2002-02,-32.552,-362.8,,Feb-02,-362.76,436.17,73.41
2002-03,106.65,4.67,,2002-03,-31.168,-361.0,,Mar-02,-361.04,459.50,98.45
2002-04,105.92,4.66,,2002-04,-34.076,-363.6,,Apr-02,-363.57,461.90,98.32
2002-05,103.14,4.64,,2002-05,-34.391,-369.9,,May-02,-369.94,453.88,83.94
2002-06,100.68,4.61,,2002-06,-35.489,-375.8,,Jun-02,-375.83,454.70,78.87
2002-07,98.37,4.59,,2002-07,-34.472,-379.9,,Jul-02,-379.89,463.00,83.11
2002-08,99.61,4.60,,2002-08,-36.435,-387.7,,Aug-02,-387.69,459.97,72.28
2002-09,99.82,4.60,,2002-09,-37.031,-393.6,,Sep-02,-393.60,461.13,67.53
2002-10,100.29,4.61,,2002-10,-35.269,-397.7,,Oct-02,-397.73,453.15,55.42
2002-11,99.02,4.60,,2002-11,-39.619,-407.4,,Nov-02,-407.37,455.75,48.38
2002-12,98.05,4.59,,2002-12,-43.27,-423.7,,Dec-02,-423.73,454.64,30.91
2003-01,95.69,4.56,,2003-01,-41.152,-434.9,,Jan-03,-434.92,467.50,32.58
2003-02,94.77,4.55,,2003-02,-39.692,-442.1,,Feb-03,-442.06,479.63,37.56
2003-03,94.08,4.54,,2003-03,-43.807,-454.7,,Mar-03,-454.70,452.99,-1.71
2003-04,93.79,4.54,,2003-04,-42.435,-463.1,,Apr-03,-463.06,455.91,-7.15
2003-05,89.66,4.50,,2003-05,-41.123,-469.8,,May-03,-469.79,462.91,-6.88
2003-06,88.76,4.49,,2003-06,-40.134,-474.4,,Jun-03,-474.44,451.59,-22.85
2003-07,90.39,4.50,,2003-07,-41.592,-481.6,,Jul-03,-481.56,436.83,-44.73
2003-08,91.49,4.52,,2003-08,-39.97,-485.1,,Aug-03,-485.09,424.33,-60.76
2003-09,89.91,4.50,,2003-09,-41.792,-489.9,,Sep-03,-489.86,417.03,-72.82
2003-10,86.79,4.46,,2003-10,-41.356,-495.9,,Oct-03,-495.94,389.24,-106.71
2003-11,86.49,4.46,,2003-11,-39.956,-496.3,,Nov-03,-496.28,377.05,-119.23
2003-12,84.46,4.44,,2003-12,-43.914,-496.9,,Dec-03,-496.92,399.74,-97.18
2004-01,82.94,4.42,,2004-01,-44.957,-500.7,,Jan-04,-500.73,391.44,-109.29
2004-02,83.38,4.42,,2004-02,-44.412,-505.4,,Feb-04,-505.45,391.85,-113.60
2004-03,84.66,4.44,,2004-03,-46.67,-508.3,,Mar-04,-508.31,371.43,-136.88
2004-04,85.59,4.45,,2004-04,-47.472,-513.3,,Apr-04,-513.35,362.99,-150.36
2004-05,86.90,4.46,,2004-05,-48.312,-520.5,,May-04,-520.54,338.25,-182.29
2004-06,85.61,4.45,,2004-06,-54.818,-535.2,,Jun-04,-535.22,347.49,-187.73
2004-07,84.58,4.44,,2004-07,-51.575,-545.2,,Jul-04,-545.20,352.10,-193.10
2004-08,84.80,4.44,,2004-08,-53.389,-558.6,,Aug-04,-558.62,358.33,-200.29
2004-09,84.35,4.43,,2004-09,-51.642,-568.5,,Sep-04,-568.47,365.57,-202.91
2004-10,82.65,4.41,,2004-10,-55.227,-582.3,,Oct-04,-582.34,385.85,-196.49
2004-11,79.69,4.38,,2004-11,-58.965,-601.4,,Nov-04,-601.35,405.67,-195.68
2004-12,78.89,4.37,,2004-12,-54.66,-612.1,,Dec-04,-612.10,411.54,-200.56
2005-01,79.76,4.38,,2005-01,-55.627,-622.8,,Jan-05,-622.77,425.88,-196.89
2005-02,80.46,4.39,,2005-02,-57.506,-635.9,,Feb-05,-635.86,428.96,-206.90
2005-03,79.63,4.38,,2005-03,-53.509,-642.7,,Mar-05,-642.70,419.34,-223.36
2005-04,80.86,4.39,,2005-04,-56.259,-651.5,,Apr-05,-651.49,397.82,-253.67
2005-05,81.89,4.41,,2005-05,-56.32,-659.5,,May-05,-659.50,396.58,-262.92
2005-06,83.27,4.42,,2005-06,-58.092,-662.8,,Jun-05,-662.77,416.26,-246.51
2005-07,83.98,4.43,,2005-07,-57.877,-669.1,,Jul-05,-669.07,428.05,-241.02
2005-08,82.58,4.41,,2005-08,-58.024,-673.7,,Aug-05,-673.71,450.54,-223.17
2005-09,82.18,4.41,,2005-09,-65.053,-687.1,,Sep-05,-687.12,492.41,-194.71
2005-10,83.39,4.42,,2005-10,-67.078,-699.0,,Oct-05,-698.97,537.38,-161.59
